concept,layer,target_class,mean_sign_count,std_sign_count,p_value,corrected_alpha,significant,direction,n_trials
regular_ioi,classifier.2,traditional,0.2,0.42163702135578396,0.05100326070695086,0.0003787878787878788,False,not_significant,10
short_notes,classifier.1,classical,0.3264681555373891,0.10818027326022595,0.0006695035659862865,0.0003787878787878788,False,not_significant,10
short_notes,classifier.1,country,0.3076689774696707,0.1487961410466205,0.002727222716430197,0.0003787878787878788,False,not_significant,10
short_notes,classifier.1,jazz,0.1744155844155844,0.13347142452701447,2.957362731187359e-05,0.0003787878787878788,True,negative,10
short_notes,classifier.1,pop,0.5459208401416539,0.15385502359249925,0.36989760610213857,0.0003787878787878788,False,not_significant,10
short_notes,classifier.1,rock,0.7442352037513191,0.10837245412389994,5.504111062706133e-05,0.0003787878787878788,True,positive,10
short_notes,classifier.1,traditional,0.3160000004342624,0.11360272116730175,0.0006263928176636431,0.0003787878787878788,False,not_significant,10
short_notes,classifier.2,classical,0.7,0.4830458915396479,0.22286835013352033,0.0003787878787878788,False,not_significant,10
short_notes,classifier.2,country,0.7,0.48304589153964794,0.22286835013352033,0.0003787878787878788,False,not_significant,10
short_notes,classifier.2,jazz,0.5,0.5270462766947299,1.0,0.0003787878787878788,False,not_significant,10
short_notes,classifier.2,pop,0.8,0.42163702135578396,0.05100326070695079,0.0003787878787878788,False,not_significant,10
short_notes,classifier.2,rock,0.7,0.48304589153964794,0.22286835013352033,0.0003787878787878788,False,not_significant,10
short_notes,classifier.2,traditional,0.6,0.5163977794943223,0.5554454421055854,0.0003787878787878788,False,not_significant,10
strong_velocity,classifier.1,classical,0.5425144748692922,0.19468225154652885,0.507250187372445,0.0003787878787878788,False,not_significant,10
strong_velocity,classifier.1,country,0.48747833622183706,0.05127946406414851,0.45980319936172276,0.0003787878787878788,False,not_significant,10
strong_velocity,classifier.1,jazz,0.3853896103896104,0.09094683302298576,0.0031813125732111213,0.0003787878787878788,False,not_significant,10
strong_velocity,classifier.1,pop,0.5634087238201995,0.16727994501023313,0.2612593869939269,0.0003787878787878788,False,not_significant,10
strong_velocity,classifier.1,rock,0.6922367409753579,0.09845385679408948,0.00016380590578367617,0.0003787878787878788,True,positive,10
strong_velocity,classifier.1,traditional,0.5685714293888637,0.17038305544535756,0.23502688792095433,0.0003787878787878788,False,not_significant,10
strong_velocity,classifier.2,classical,0.1,0.31622776601683794,0.0031104283103858543,0.0003787878787878788,False,not_significant,10
strong_velocity,classifier.2,country,0.1,0.31622776601683794,0.0031104283103858543,0.0003787878787878788,False,not_significant,10
strong_velocity,classifier.2,jazz,0.0,0.0,,0.0003787878787878788,False,not_significant,10
strong_velocity,classifier.2,pop,0.0,0.0,,0.0003787878787878788,False,not_significant,10
