concept,layer,target_class,mean_sign_count,std_sign_count,p_value,corrected_alpha,significant,direction,n_trials,effect,abs_effect,signed_effect_label
low_pitch_register,classifier.1,traditional,0.3160000006471362,0.1880763104699475,0.0128516569203723,0.0003787878787878,False,not_significant,10,-0.18399999935286382,0.18399999935286382,not_significant
low_pitch_register,classifier.2,classical,0.8,0.4216370213557839,0.0510032607069507,0.0003787878787878,False,not_significant,10,0.30000000000000004,0.30000000000000004,not_significant
low_pitch_register,classifier.2,country,0.6,0.5163977794943223,0.5554454421055854,0.0003787878787878,False,not_significant,10,0.09999999999999998,0.09999999999999998,not_significant
low_pitch_register,classifier.2,jazz,0.1,0.3162277660168379,0.0031104283103858,0.0003787878787878,False,not_significant,10,-0.4,0.4,not_significant
low_pitch_register,classifier.2,pop,0.1,0.3162277660168379,0.0031104283103858,0.0003787878787878,False,not_significant,10,-0.4,0.4,not_significant
low_pitch_register,classifier.2,rock,0.6,0.5163977794943223,0.5554454421055854,0.0003787878787878,False,not_significant,10,0.09999999999999998,0.09999999999999998,not_significant
low_pitch_register,classifier.2,traditional,0.0,0.0,,0.0003787878787878,False,not_significant,10,-0.5,0.5,not_significant
regular_ioi,classifier.1,classical,0.2526054590823386,0.1499929043900747,0.0005522963782892,0.0003787878787878,False,not_significant,10,-0.2473945409176614,0.2473945409176614,not_significant
regular_ioi,classifier.1,country,0.2877816291161178,0.1098360531963875,0.0001770934608191,0.0003787878787878,True,negative,10,-0.21221837088388218,0.21221837088388218,opposes_class
regular_ioi,classifier.1,jazz,0.22,0.1609402481053295,0.000379372692167,0.0003787878787878,False,not_significant,10,-0.28,0.28,not_significant
regular_ioi,classifier.1,pop,0.5401050081401342,0.1287527600889202,0.3503557712427835,0.0003787878787878,False,not_significant,10,0.04010500814013418,0.04010500814013418,not_significant
regular_ioi,classifier.1,rock,0.6329362029345744,0.1503141164695097,0.0208251284942266,0.0003787878787878,False,not_significant,10,0.13293620293457442,0.13293620293457442,not_significant
regular_ioi,classifier.1,traditional,0.6757142873150961,0.1074229148473131,0.0005851096940369,0.0003787878787878,False,not_significant,10,0.17571428731509608,0.17571428731509608,not_significant
regular_ioi,classifier.2,classical,0.2,0.4216370213557839,0.0510032607069508,0.0003787878787878,False,not_significant,10,-0.3,0.3,not_significant
regular_ioi,classifier.2,country,0.1,0.3162277660168379,0.0031104283103858,0.0003787878787878,False,not_significant,10,-0.4,0.4,not_significant
regular_ioi,classifier.2,jazz,0.2,0.4216370213557839,0.0510032607069508,0.0003787878787878,False,not_significant,10,-0.3,0.3,not_significant
regular_ioi,classifier.2,pop,0.9,0.3162277660168379,0.0031104283103858,0.0003787878787878,False,not_significant,10,0.4,0.4,not_significant
regular_ioi,classifier.2,rock,0.0,0.0,,0.0003787878787878,False,not_significant,10,-0.5,0.5,not_significant
regular_ioi,classifier.2,traditional,0.2,0.4216370213557839,0.0510032607069508,0.0003787878787878,False,not_significant,10,-0.3,0.3,not_significant
short_notes,classifier.1,classical,0.3264681555373891,0.1081802732602259,0.0006695035659862,0.0003787878787878,False,not_significant,10,-0.17353184446261088,0.17353184446261088,not_significant
short_notes,classifier.1,country,0.3076689774696707,0.1487961410466205,0.0027272227164301,0.0003787878787878,False,not_significant,10,-0.1923310225303293,0.1923310225303293,not_significant
short_notes,classifier.1,jazz,0.1744155844155844,0.1334714245270144,2.957362731187359e-05,0.0003787878787878,True,negative,10,-0.3255844155844156,0.3255844155844156,opposes_class
short_notes,classifier.1,pop,0.5459208401416539,0.1538550235924992,0.3698976061021385,0.0003787878787878,False,not_significant,10,0.045920840141653874,0.045920840141653874,not_significant
short_notes,classifier.1,rock,0.7442352037513191,0.1083724541238999,5.504111062706133e-05,0.0003787878787878,True,positive,10,0.24423520375131913,0.24423520375131913,supports_class
short_notes,classifier.1,traditional,0.3160000004342624,0.1136027211673017,0.0006263928176636,0.0003787878787878,False,not_significant,10,-0.1839999995657376,0.1839999995657376,not_significant
short_notes,classifier.2,classical,0.7,0.4830458915396479,0.2228683501335203,0.0003787878787878,False,not_significant,10,0.19999999999999996,0.19999999999999996,not_significant
short_notes,classifier.2,country,0.7,0.4830458915396479,0.2228683501335203,0.0003787878787878,False,not_significant,10,0.19999999999999996,0.19999999999999996,not_significant
short_notes,classifier.2,jazz,0.5,0.5270462766947299,1.0,0.0003787878787878,False,not_significant,10,0.0,0.0,not_significant
short_notes,classifier.2,pop,0.8,0.4216370213557839,0.0510032607069507,0.0003787878787878,False,not_significant,10,0.30000000000000004,0.30000000000000004,not_significant
short_notes,classifier.2,rock,0.7,0.4830458915396479,0.2228683501335203,0.0003787878787878,False,not_significant,10,0.19999999999999996,0.19999999999999996,not_significant
short_notes,classifier.2,traditional,0.6,0.5163977794943223,0.5554454421055854,0.0003787878787878,False,not_significant,10,0.09999999999999998,0.09999999999999998,not_significant
strong_velocity,classifier.1,classical,0.5425144748692922,0.1946822515465288,0.507250187372445,0.0003787878787878,False,not_significant,10,0.04251447486929216,0.04251447486929216,not_significant
strong_velocity,classifier.1,country,0.487478336221837,0.0512794640641485,0.4598031993617227,0.0003787878787878,False,not_significant,10,-0.012521663778162995,0.012521663778162995,not_significant
strong_velocity,classifier.1,jazz,0.3853896103896104,0.0909468330229857,0.0031813125732111,0.0003787878787878,False,not_significant,10,-0.1146103896103896,0.1146103896103896,not_significant
strong_velocity,classifier.1,pop,0.5634087238201995,0.1672799450102331,0.2612593869939269,0.0003787878787878,False,not_significant,10,0.06340872382019946,0.06340872382019946,not_significant
strong_velocity,classifier.1,rock,0.6922367409753579,0.0984538567940894,0.0001638059057836,0.0003787878787878,True,positive,10,0.19223674097535792,0.19223674097535792,supports_class
